Events;Vision Events;Date;Latitude;Longitude;Speed;Road Speed;Odometer;Linear G;Lateral G;Location;Geofences
; ;2022-08-01 23:21:41;-34.000253;18.434123;0;60;238661,401;0;0;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:21:48;-34.000287;18.434094;0;60;238661,401;0;0;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:21:48;-34.000287;18.434094;0;60;238661,401;0;0;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:23:07;-34.000418;18.434386;13;60;238661,411;0;0;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:23:08;-34.000427;18.434426;17;60;238661,415;0,11;0,07;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:23:18;-34.000737;18.435202;39;60;238661,494;0,03;0,04;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:23:28;-34.001745;18.435727;46;60;238661,617;-0,03;0,13;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:23:41;-34.003235;18.435454;48;60;238661,784;0,03;0,05;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:23:51;-34.004158;18.435429;19;60;238661,887;0,09;0,04;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:24:01;-34.004545;18.436038;21;60;238661,958;-0,14;0,02;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:24:11;-34.004467;18.436889;38;60;238662,037;0;0;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:24:21;-34.004475;18.437789;32;60;238662,119;0,09;0,03;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:24:31;-34.005022;18.438954;48;60;238662,243;0;0,05;Hohenhort Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:24:55;-34.006382;18.441706;23;60;238662,538;0,11;0,04;Spilhaus Avenue, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:25:08;-34.007355;18.442798;52;60;238662,686;0,03;0,05;Alphen Drive, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:25:18;-34.007768;18.444354;58;60;238662,837;0,03;0,13;Alphen Drive, Cape Town, Western Cape, South Africa;
Turning; ;2022-08-01 23:25:27;-34.007633;18.445912;58;60;238662,981;0,09;0,42;Alphen Drive, Cape Town, Western Cape, South Africa;
Road Speed; ;2022-08-01 23:25:37;-34.008592;18.447519;69;60;238663,163;0,06;0,06;Alphen Drive, Cape Town, Western Cape, South Africa;
Road Speed; ;2022-08-01 23:25:47;-34.009507;18.449372;72;60;238663,362;0;0,07;Alphen Drive, Cape Town, Western Cape, South Africa;
Road Speed; ;2022-08-01 23:25:57;-34.010408;18.451196;72;60;238663,558;0,03;0,27;Alphen Drive, Cape Town, Western Cape, South Africa;
Turning; ;2022-08-01 23:25:58;-34.010587;18.451274;72;60;238663,579;0;0,35;Alphen Drive, Cape Town, Western Cape, South Africa;
Road Speed; ;2022-08-01 23:26:08;-34.012178;18.452053;62;60;238663,77;-0,06;0,27;Alphen Drive, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:26:19;-34.013215;18.451963;17;60;238663,886;0;0,21;Vineyard Close, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:26:30;-34.013925;18.451206;40;60;238663,991;-0,06;0,12;Alphen Drive, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:26:42;-34.014602;18.451412;11;60;238664,069;0;0;Alphen Drive, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:26:52;-34.014117;18.452214;52;60;238664,16;0,09;0,07;Constantia Main Road, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:26:59;-34.013663;18.455356;0;60;238664,16;0;0,08;Constantia Main Road, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:27:08;-34.013655;18.454766;45;60;238664,401;0;0;Constantia Main Road, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:27:15;-34.013667;18.455504;21;60;238664,469;-0,06;0,14;Constantia Main Road, Cape Town, Western Cape, South Africa;
; ;2022-08-01 23:27:25;-34.014515;18.455552;47;100;238664,563;0,06;0,02;Simon van der Stel Freeway, Cape Town, Western Cape, South Africa;
