Events,Vision Events,Date,Latitude,Longitude,Speed,Road Speed,Odometer,Linear G,Lateral G,Location,Geofences
, ,2022-08-01 02:41:51,-25.736245,28.287669,0,60.0,71812.62,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
, ,2022-08-01 02:42:04,-25.736245,28.287669,0,60.0,71812.62,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
, ,2022-08-01 02:42:42,-25.736071,28.287632,0,60.0,71812.628,0.0,0.0,"Joseph Bosman Street, Pretoria, Gauteng, South Africa",
Idle, ,2022-08-01 02:43:36,-25.73625,28.287637,0,60.0,71812.649,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
, ,2022-08-01 02:43:40,-25.73622,28.287649,0,60.0,71812.628,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
, ,2022-08-01 02:44:34,-25.736255,28.287632,0,60.0,71812.648,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
Idle, ,2022-08-01 02:46:16,-25.736236,28.287682,0,60.0,71812.649,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
, ,2022-08-01 02:46:17,-25.736236,28.287682,0,60.0,71812.649,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
, ,2022-08-01 02:46:44,-25.736253,28.287685,0,60.0,71812.654,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
Idle, ,2022-08-01 02:46:44,-25.736183,28.287667,0,60.0,71812.662,0.0,0.0,"Isaac Stegman Street, Pretoria, Gauteng, South Africa",
Idle, ,2022-08-01 02:49:44,-25.73583,28.287826,0,60.0,71812.704,0.0,0.0,"Joseph Bosman Street, Pretoria, Gauteng, South Africa",
Idle, ,2022-08-01 02:50:28,-25.735813,28.287845,13,60.0,71812.707,0.0,0.0,"Joseph Bosman Street, Pretoria, Gauteng, South Africa",
, ,2022-08-01 02:50:29,-25.735813,28.287845,13,60.0,71812.707,0.0,0.0,"Joseph Bosman Street, Pretoria, Gauteng, South Africa",
