Events,Vision Events,Date,Latitude,Longitude,Speed,Road Speed,Odometer,Linear G,Lateral G,Location,Geofences
, ,2022-07-01 03:43:30,-26.093445,28.110372,0,60.0,57272.613,0.0,0.0,"Freedom Charter Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:43:46,-26.093452,28.110353,0,60.0,57272.615,0.0,0.0,"Freedom Charter Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:44:29,-26.093398,28.110425,11,60.0,57272.624,0.0,0.0,"Freedom Charter Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:44:32,-26.093418,28.110554,21,60.0,57272.637,0.09,0.03,"Freedom Charter Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:44:42,-26.0937,28.111295,14,60.0,57272.718,-0.14,0.13,"Freedom Charter Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:44:52,-26.093277,28.11154,36,60.0,57272.771,0.09,0.05,"Freedom Charter Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:45:03,-26.092278,28.111912,41,60.0,57272.888,0.03,0.02,"Freedom Charter Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:45:13,-26.09133,28.112185,30,60.0,57272.997,-0.09,0.04,"Freedom Charter Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:45:23,-26.090984,28.11241,13,60.0,57273.041,-0.17,0.03,"Phil Machitela Street, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:45:33,-26.090947,28.112697,17,60.0,57273.07,0.09,0.14,"Far East Bank Drive, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:45:43,-26.089935,28.112664,40,60.0,57273.183,-0.09,0.02,"Far East Bank Drive, Alexandra, Gauteng, South Africa",
, ,2022-07-01 03:45:54,-26.089182,28.11248,24,60.0,57273.268,0.14,0.04,"Far East Bank Drive, Alexandra, Gauteng, South Africa",
Road Speed, ,2022-07-01 03:46:04,-26.088132,28.112107,63,60.0,57273.391,0.11,0.0,"Far East Bank Drive, Sandton, Gauteng, South Africa",
Road Speed, ,2022-07-01 03:46:14,-26.086365,28.110903,88,60.0,57273.621,-0.28,0.0,"Far East Bank Drive, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:46:29,-26.084685,28.109567,48,60.0,57273.851,-0.2,0.17,"Far East Bank Drive, Sandton, Gauteng, South Africa",
Road Speed, ,2022-07-01 03:46:39,-26.084014,28.10816,65,60.0,57274.01,-0.06,0.06,"Far East Bank Drive, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:46:49,-26.083193,28.106824,44,60.0,57274.172,-0.14,0.06,"Far East Bank Drive, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:46:59,-26.082632,28.106617,24,80.0,57274.237,0.06,0.2,"Marlboro Drive, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:47:09,-26.082535,28.107778,65,80.0,57274.354,0.03,0.0,"Marlboro Drive, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:47:21,-26.082715,28.110204,71,80.0,57274.597,0.0,0.07,"Marlboro Drive, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:47:31,-26.082432,28.112129,67,80.0,57274.792,-0.09,0.0,"Marlboro Drive, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:47:48,-26.081912,28.114978,40,80.0,57275.082,-0.26,0.04,"Marlboro Drive, Sandton, Gauteng, South Africa",
Turning, ,2022-07-01 03:47:51,-26.081768,28.115247,29,40.0,57275.113,-0.14,0.44,"Sandton, Gauteng, South Africa",
Turning, ,2022-07-01 03:47:53,-26.08163,28.115284,35,40.0,57275.129,0.2,0.42,"Sandton, Gauteng, South Africa",
, ,2022-07-01 03:48:03,-26.081223,28.114627,36,40.0,57275.209,0.11,0.21,"Sandton, Gauteng, South Africa",
Road Speed, ,2022-07-01 03:48:13,-26.082558,28.11476,73,40.0,57275.358,0.14,0.03,"Sandton, Gauteng, South Africa",
, ,2022-07-01 03:48:54,-26.092799,28.117182,107,120.0,57276.522,0.0,0.05,"Eastern Bypass, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:49:04,-26.095364,28.118239,104,120.0,57276.826,-0.03,0.05,"Eastern Bypass, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:49:14,-26.097672,28.119527,96,120.0,57277.113,-0.03,0.05,"Eastern Bypass, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:49:24,-26.099747,28.121,102,120.0,57277.387,0.03,0.05,"Eastern Bypass, Sandton, Gauteng, South Africa",
, ,2022-07-01 03:50:15,-26.110224,28.12997,106,120.0,57278.856,0.06,0.1,"Eastern Bypass, Kempton Park, Gauteng, South Africa",
, ,2022-07-01 03:50:25,-26.11266,28.131385,113,120.0,57279.162,0.0,0.0,"Eastern Bypass, Kempton Park, Gauteng, South Africa",
Road Speed, ,2022-07-01 03:51:01,-26.122285,28.136064,109,60.0,57280.33,-0.06,0.11,"Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:51:11,-26.125034,28.136289,115,120.0,57280.636,0.0,0.17,"Eastern Bypass, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:51:21,-26.127817,28.13532,114,120.0,57280.96,0.0,0.06,"Eastern Bypass, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:51:41,-26.133129,28.133565,102,120.0,57281.576,-0.03,0.05,"Eastern Bypass, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:51:52,-26.135927,28.132997,107,120.0,57281.893,0.0,0.05,"Eastern Bypass, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:52:39,-26.148514,28.131257,102,120.0,57283.303,0.03,0.1,"Eastern Bypass, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:52:49,-26.151142,28.131784,110,120.0,57283.6,0.03,0.0,"Eastern Bypass, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:52:59,-26.153852,28.132605,111,120.0,57283.912,0.0,0.05,"Eastern Bypass, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:53:09,-26.156625,28.13321,115,120.0,57284.226,0.03,0.06,"Eastern Bypass, Bedfordview, Gauteng, South Africa",
, ,2022-07-01 03:53:23,-26.160767,28.133645,120,120.0,57284.689,0.0,0.06,"Eastern Bypass, Bedfordview, Gauteng, South Africa",
, ,2022-07-01 03:53:36,-26.1646,28.133595,111,120.0,57285.115,0.0,0.05,"Eastern Bypass, Bedfordview, Gauteng, South Africa",
, ,2022-07-01 03:53:46,-26.166904,28.133432,73,120.0,57285.372,-0.06,0.07,"Bedfordview, Gauteng, South Africa",
Turning, ,2022-07-01 03:53:53,-26.167912,28.134084,71,120.0,57285.501,0.06,0.4,"Bedfordview, Gauteng, South Africa",
, ,2022-07-01 03:54:03,-26.167795,28.136069,77,120.0,57285.7,0.03,0.04,"Bedfordview, Gauteng, South Africa",
, ,2022-07-01 03:54:34,-26.165959,28.143837,107,120.0,57286.502,0.0,0.1,"R24, Bedfordview, Gauteng, South Africa",
, ,2022-07-01 03:54:44,-26.164834,28.146459,103,120.0,57286.792,-0.03,0.0,"R24, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:54:54,-26.163785,28.149045,98,120.0,57287.075,-0.03,0.05,"R24, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:55:05,-26.163439,28.151992,99,120.0,57287.372,0.0,0.0,"R24, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:55:15,-26.163359,28.154697,93,120.0,57287.642,-0.03,0.18,"Albertina Sisulu Freeway, Bedfordview, Gauteng, South Africa",
, ,2022-07-01 03:55:25,-26.162102,28.157142,104,120.0,57287.923,0.03,0.05,"Albertina Sisulu Freeway, Germiston, Gauteng, South Africa",
, ,2022-07-01 03:55:52,-26.156989,28.162449,105,120.0,57288.7,0.06,0.05,"Albertina Sisulu Freeway, Germiston, Gauteng, South Africa",
, ,2022-07-01 03:55:53,-26.154469,28.166217,0,120.0,57288.7,0.03,0.1,"Albertina Sisulu Freeway, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:56:02,-26.155294,28.164907,115,120.0,57289.009,0.0,0.0,"Albertina Sisulu Freeway, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:56:12,-26.153589,28.167535,117,120.0,57289.333,0.03,0.11,"Albertina Sisulu Freeway, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:56:24,-26.151189,28.170464,120,120.0,57289.729,0.03,0.12,"Albertina Sisulu Freeway, Germiston, Gauteng, South Africa",
, ,2022-07-01 03:56:34,-26.149679,28.173375,120,120.0,57290.064,-0.03,0.0,"Albertina Sisulu Freeway, Germiston, Gauteng, South Africa",
, ,2022-07-01 03:57:27,-26.142212,28.188769,119,120.0,57291.811,0.03,0.11,"Albertina Sisulu Freeway, Germiston, Gauteng, South Africa",
, ,2022-07-01 03:57:53,-26.137749,28.195397,105,120.0,57292.638,-0.06,0.05,"Albertina Sisulu Freeway, Germiston, Edenvale, Gauteng, South Africa",
, ,2022-07-01 03:58:36,-26.130507,28.205819,112,120.0,57293.953,0.03,0.16,"Albertina Sisulu Freeway, Kempton Park, Gauteng, South Africa",
, ,2022-07-01 03:58:46,-26.129369,28.208437,109,120.0,57294.244,0.06,0.11,"Albertina Sisulu Freeway, Kempton Park, Gauteng, South Africa",
, ,2022-07-01 03:58:56,-26.12894,28.211535,114,120.0,57294.557,0.0,0.11,"Albertina Sisulu Freeway, Kempton Park, Gauteng, South Africa",
, ,2022-07-01 03:59:06,-26.129354,28.214562,111,120.0,57294.862,0.0,0.05,"Albertina Sisulu Freeway, Kempton Park, Gauteng, South Africa",
, ,2022-07-01 03:59:22,-26.130487,28.219117,101,120.0,57295.334,-0.03,0.05,"R24, Kempton Park, Gauteng, South Africa",
, ,2022-07-01 03:59:32,-26.13058,28.221789,89,120.0,57295.601,-0.06,0.04,"R24, Kempton Park, Gauteng, South Africa",
, ,2022-07-01 03:59:42,-26.13064,28.224279,89,120.0,57295.85,-0.06,0.09,"R24, Kempton Park, Gauteng, South Africa",OR Tambo
, ,2022-07-01 03:59:52,-26.131635,28.22637,85,120.0,57296.086,0.0,0.04,"R24, Kempton Park, Gauteng, South Africa",OR Tambo
, ,2022-07-01 04:00:02,-26.132552,28.228064,60,60.0,57296.284,-0.06,0.11,"Kempton Park, Gauteng, South Africa",OR Tambo
Road Speed, ,2022-07-01 04:00:12,-26.13173,28.22942,67,50.0,57296.447,0.0,0.22,"Kempton Park, Gauteng, South Africa",OR Tambo
, ,2022-07-01 04:00:22,-26.130343,28.229674,41,60.0,57296.603,0.0,0.33,"Kempton Park, Gauteng, South Africa",OR Tambo
, ,2022-07-01 04:00:32,-26.13036,28.230754,19,60.0,57296.711,-0.11,0.22,"Kempton Park, Gauteng, South Africa",OR Tambo
, ,2022-07-01 04:00:42,-26.131295,28.23068,55,60.0,57296.815,0.03,0.0,"Kempton Park, Gauteng, South Africa",OR Tambo
, ,2022-07-01 04:00:53,-26.132162,28.230599,25,60.0,57296.912,-0.09,0.09,"Kempton Park, Gauteng, South Africa",OR Tambo
, ,2022-07-01 04:01:03,-26.13277,28.230092,43,60.0,57296.996,-0.06,0.02,"Kempton Park, Gauteng, South Africa",OR Tambo
